阈值方法,item_no,item_text,importance_mean,performance_mean,importance_threshold,performance_threshold,quadrant,is_priority
均值阈值,1,①丰富的中医药文化展示和非遗体验项目,3.7560975609756095,3.718931475029036,3.7455284552845525,3.6896631823461092,Q1_优势区,0
均值阈值,2,②环境舒适度与卫生状况,3.7409988385598143,3.6666666666666665,3.7455284552845525,3.6896631823461092,Q3_机会区,0
均值阈值,3,③便捷的交通、充足的停车位,3.722415795586527,3.6515679442508713,3.7455284552845525,3.6896631823461092,Q3_机会区,0
均值阈值,4,④亲友推荐/正面评价多,3.6887340301974447,3.708478513356562,3.7455284552845525,3.6896631823461092,Q2_维持区,0
均值阈值,5,⑤特色美食、文创产品的种类及品质,3.7398373983739837,3.5900116144018583,3.7455284552845525,3.6896631823461092,Q3_机会区,0
均值阈值,6,⑥提供个性化中医体质辨识、养生咨询等服务,3.7642276422764227,3.7096399535423927,3.7455284552845525,3.6896631823461092,Q1_优势区,0
均值阈值,7,⑦服务专业度与态度,3.826945412311266,3.722415795586527,3.7455284552845525,3.6896631823461092,Q1_优势区,0
均值阈值,8,⑧产品价格与优惠力度,3.7340301974448318,3.6933797909407664,3.7455284552845525,3.6896631823461092,Q2_维持区,0
均值阈值,9,⑨中医药服务专业度,3.7932636469221834,3.6957026713124272,3.7455284552845525,3.6896631823461092,Q1_优势区,0
均值阈值,10,⑩线上线下宣传推广,3.6887340301974447,3.7398373983739837,3.7455284552845525,3.6896631823461092,Q2_维持区,0
中位数阈值,1,①丰富的中医药文化展示和非遗体验项目,3.7560975609756095,3.718931475029036,3.740418118466899,3.7020905923344944,Q1_优势区,0
中位数阈值,2,②环境舒适度与卫生状况,3.7409988385598143,3.6666666666666665,3.740418118466899,3.7020905923344944,Q4_改进区,1
中位数阈值,3,③便捷的交通、充足的停车位,3.722415795586527,3.6515679442508713,3.740418118466899,3.7020905923344944,Q3_机会区,0
中位数阈值,4,④亲友推荐/正面评价多,3.6887340301974447,3.708478513356562,3.740418118466899,3.7020905923344944,Q2_维持区,0
中位数阈值,5,⑤特色美食、文创产品的种类及品质,3.7398373983739837,3.5900116144018583,3.740418118466899,3.7020905923344944,Q3_机会区,0
中位数阈值,6,⑥提供个性化中医体质辨识、养生咨询等服务,3.7642276422764227,3.7096399535423927,3.740418118466899,3.7020905923344944,Q1_优势区,0
中位数阈值,7,⑦服务专业度与态度,3.826945412311266,3.722415795586527,3.740418118466899,3.7020905923344944,Q1_优势区,0
中位数阈值,8,⑧产品价格与优惠力度,3.7340301974448318,3.6933797909407664,3.740418118466899,3.7020905923344944,Q3_机会区,0
中位数阈值,9,⑨中医药服务专业度,3.7932636469221834,3.6957026713124272,3.740418118466899,3.7020905923344944,Q4_改进区,1
中位数阈值,10,⑩线上线下宣传推广,3.6887340301974447,3.7398373983739837,3.740418118466899,3.7020905923344944,Q2_维持区,0
