respondent_id,C001,C002,C003,C004,C005,C006,C007,C008,C009,C010,C011,C012,C013,C014,C015,C016,C017,C018,C019,C020,C021,C022,C023,C024,C025,C026,C027,C028,C029,C030,C031,C032,C033,C034,C035,C036,C037,C038,C039,C040,C041,C042,C043,C044,C045,C046,C047,C048,C049,C050,C051,C052,C053,C054,C055,C056,C057,C058,C059,C060,C061,C062,C063,C064,C065,C066,C067,C068,C069,C070,C071,C072,C073,C074,C075,C076,C077,C078,C079,C080,C081,C082,C083,C084,C085,C086,C087,C088,C089,C090,C091,C092,C093,C094,C095,C096,C097,C098,C099,C100,C101,C102,C103,C104,C105,C106,C107,C108
11,2,4,4,2,2,1,3,1,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,3,1,0,1,1,0,0,1,0,0,1,0,1,0,1,0,1,0,0,-3,-3,-3,-3,-3,-3,-3,-3,-3,4,3,3,4,5,3,3,4,3,4,5,5,3,5,4,3,4,3,5,4,5,4,4,3,4,3,3,4,4,5,4,3,5,5,3,4,5,5,2,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,无
12,1,2,5,6,3,1,4,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,2,4,0,1,1,0,0,1,0,0,1,0,1,0,1,0,1,0,0,-3,-3,-3,-3,-3,-3,-3,-3,-3,4,5,5,4,4,4,5,4,4,4,4,4,5,5,2,1,1,3,2,2,2,1,2,2,5,4,5,4,5,4,5,4,4,4,5,5,4,4,1,2,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,无
13,1,3,4,5,3,1,5,1,1,0,0,0,1,0,0,1,0,1,1,0,1,0,0,2,1,1,1,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,-3,-3,-3,-3,-3,-3,-3,-3,-3,4,4,4,5,4,4,4,4,5,3,3,4,5,3,4,3,4,4,5,5,4,5,3,3,5,4,5,4,5,4,3,4,4,4,4,5,3,4,2,1,0,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,无
14,1,5,4,2,1,1,3,1,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,3,2,1,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,-3,-3,-3,-3,-3,-3,-3,-3,-3,2,2,2,3,1,4,5,4,4,4,1,3,4,2,2,4,1,2,3,2,2,2,1,1,1,1,3,1,3,3,4,1,2,3,1,1,1,1,5,4,0,1,0,1,0,1,0,0,1^无,0,1,0,0,0,1,0,无
15,1,3,2,8^无,3,1,2,1,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,1,4,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,-3,-3,-3,-3,-3,-3,-3,-3,-3,3,4,4,3,4,4,5,5,4,4,5,3,4,4,5,3,4,4,4,4,4,5,5,4,4,4,5,5,4,5,4,4,5,3,4,4,4,5,2,2,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,无
16,2,3,3,2,3,2,3,1,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,3,1,1,0,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,-3,-3,-3,-3,-3,-3,-3,-3,-3,3,5,5,3,5,4,4,4,5,3,4,4,5,4,3,5,3,5,4,4,3,5,4,4,4,5,4,5,5,3,4,4,3,3,3,4,3,4,2,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0,无
17,1,3,4,2,2,3,3,1,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,3,5,0,1,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,-3,-3,-3,-3,-3,-3,-3,-3,-3,4,5,5,3,1,2,4,5,3,4,5,4,4,4,3,5,5,4,4,5,5,4,4,4,1,3,1,3,2,3,3,2,1,3,4,4,4,4,2,3,0,0,1,1,0,0,1,0,0,1,0,1,0,0,1,0,无
18,1,3,2,2,3,3,2,1,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,3,3,1,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,-3,-3,-3,-3,-3,-3,-3,-3,-3,4,4,5,5,5,4,3,5,5,5,5,4,4,4,4,4,3,4,4,4,4,5,4,4,5,4,4,4,4,5,4,3,4,5,5,4,4,4,2,2,0,0,1,1,0,0,1,0,0,1,0,1,0,0,1,0,无
19,1,3,4,2,1,2,3,2,0,1,0,0,0,1,0,0,1,1,0,1,0,1,0,2,4,0,1,1,0,0,1,0,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,0,1,0,0,1,0,0,0,0,4,4,4,4,4,3,3,5,5,5,5,4,4,4,5,5,5,4,4,3,4,5,3,4,4,4,3,5,3,5,5,3,5,4,5,5,5,5,2,2,1,0,1,1,0,0,1,0,0,1,0,1,0,0,1,0,无
20,2,2,3,4,4,1,3,1,0,0,0,1,0,0,0,0,1,0,1,1,0,1,0,4,5,1,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,-3,-3,-3,-3,-3,-3,-3,-3,-3,5,5,5,3,4,3,3,3,5,5,4,5,5,5,5,4,5,5,4,5,5,5,5,3,3,4,1,2,2,1,3,3,1,1,5,4,3,4,5,5,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,无
21,2,5,4,4,3,1,2,1,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,1,3,1,0,1,0,1,0,0,0,0,1,1,0,1,0,1,0,0,-3,-3,-3,-3,-3,-3,-3,-3,-3,5,3,5,4,4,4,4,4,5,5,3,5,4,5,4,5,4,5,4,3,4,4,4,3,4,3,4,3,5,3,5,4,4,5,4,3,5,5,2,3,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,无
22,2,3,4,2,3,2,4,1,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,4,3,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,1^无,-3,-3,-3,-3,-3,-3,-3,-3,-3,3,2,2,4,3,5,5,5,4,5,4,5,5,4,4,4,5,3,5,5,5,4,3,5,3,3,4,5,5,5,4,3,4,5,5,4,5,3,2,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,无
23,2,4,1,2,3,3,1,2,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0,3,4,0,1,1,0,0,1,0,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,1,0,0,1,0,0,1,0,0,5,5,4,5,4,5,4,5,4,4,4,4,5,4,4,5,4,5,5,5,5,4,4,3,4,4,5,5,4,3,4,4,5,5,3,4,5,5,1,2,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,无
24,2,3,4,6,2,2,2,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,2,4,1,0,1,0,1,0,0,0,0,1,0,1,0,1,0,1,0,-3,-3,-3,-3,-3,-3,-3,-3,-3,4,3,4,4,4,3,5,4,4,4,4,3,4,5,2,1,3,3,1,4,1,3,3,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3,1,2,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,无
25,1,3,4,5,2,2,2,1,1,0,0,1,0,0,0,0,1,1,0,1,0,1,0,2,3,0,1,1,0,0,1,0,0,1,0,1,0,1,0,1,0,0,-3,-3,-3,-3,-3,-3,-3,-3,-3,4,5,3,4,4,4,5,4,4,3,5,5,5,4,2,2,3,3,3,3,1,3,2,3,4,3,5,4,4,4,3,4,5,5,4,4,4,4,1,2,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,无
26,1,2,4,2,4,1,3,1,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,3,1,0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,0,0,-3,-3,-3,-3,-3,-3,-3,-3,-3,5,4,4,3,5,3,4,3,4,3,4,5,5,3,3,2,3,1,3,1,1,2,3,2,4,5,4,4,4,5,3,5,3,4,4,4,4,4,3,3,1,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,无
27,1,4,1,2,2,1,2,1,0,1,0,0,0,1,0,0,1,1,0,1,0,1,0,3,2,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,-3,-3,-3,-3,-3,-3,-3,-3,-3,1,3,1,3,1,1,3,1,1,2,3,3,2,3,1,4,1,2,1,2,3,4,2,1,3,2,3,1,2,1,3,2,2,1,4,3,5,4,2,2,0,0,1,1,0,0,1,0,0,1,0,1,0,0,1,0,无
28,2,2,2,3,4,2,3,1,1,0,0,0,1,0,0,1,0,1,1,0,1,0,0,1,1,1,0,1,0,1,0,0,1,0,0,1,1,0,1,0,0,0,-3,-3,-3,-3,-3,-3,-3,-3,-3,5,4,3,3,5,4,5,5,5,5,5,4,5,4,4,5,5,5,5,5,4,4,4,5,4,5,4,5,4,4,4,4,5,4,3,4,5,4,3,2,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,无
29,2,1,4,4,3,3,2,2,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,3,3,1,0,1,0,0,1,0,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,0,1,0,0,1,0,0,0,0,5,4,4,5,4,4,3,4,3,4,3,3,5,5,4,5,4,4,4,3,5,3,5,5,4,4,4,3,4,4,4,3,3,3,5,5,4,4,1,3,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,无
30,1,1,3,3,1,2,3,1,0,1,0,0,0,1,0,0,1,0,1,1,0,1,0,3,3,0,1,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,-3,-3,-3,-3,-3,-3,-3,-3,-3,4,3,3,4,5,4,5,4,4,4,4,4,3,5,3,5,3,5,4,4,3,5,4,4,4,5,4,4,5,4,3,4,4,4,4,3,5,4,1,1,0,1,0,1,1,0,0,1,0,1,0,0,1,0,1,0,无
31,2,3,3,4,2,1,2,1,0,1,0,0,0,1,0,0,1,1,0,1,0,1,0,3,4,1,0,1,0,0,1,0,1,0,0,1,1,0,1,0,0,0,-3,-3,-3,-3,-3,-3,-3,-3,-3,5,4,3,5,5,5,2,2,2,4,3,5,4,5,4,4,4,5,4,5,4,4,3,4,4,4,4,4,4,4,4,5,4,4,5,5,3,4,1,2,0,0,1,1,0,1,0,0,0,1,0,0,1,0,1,0,无
32,2,3,5,6,3,3,3,1,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,4,1,1,0,1,0,0,1,0,0,0,1,1,0,1,0,1,0,0,-3,-3,-3,-3,-3,-3,-3,-3,-3,1,3,1,3,2,3,4,4,4,4,3,3,3,1,1,3,1,1,1,3,3,2,1,1,1,1,2,3,1,1,3,3,3,1,3,2,2,3,5,5,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,无
33,1,2,4,2,4,3,4,1,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0,1,1,0,1,1,0,0,1,0,0,1,0,1,0,1,0,1,0,0,-3,-3,-3,-3,-3,-3,-3,-3,-3,4,4,5,5,3,4,5,5,4,5,4,5,4,5,5,5,3,4,4,4,3,5,4,3,3,5,5,4,4,4,4,4,5,5,3,4,5,4,3,2,1,0,0,1,1,0,0,1,0,1,0,1,0,0,1,0,无
34,2,3,5,2,2,1,4,2,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,1,3,1,1,0,0,1,0,0,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,0,1,0,0,0,1,0,0,0,5,5,4,4,3,4,4,3,5,4,5,3,4,4,4,4,4,5,5,5,3,4,4,5,4,3,4,3,5,5,5,5,5,3,4,5,4,5,2,1,0,0,1,1,0,0,1,0,0,1,0,1,0,0,1,0,无
35,2,4,1,5,2,2,2,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,3,2,0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,0,0,-3,-3,-3,-3,-3,-3,-3,-3,-3,5,4,5,3,5,3,4,5,4,4,5,4,4,4,4,5,4,5,5,5,5,4,4,3,5,4,5,4,3,4,3,4,4,5,1,1,3,2,1,2,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,无
36,2,3,4,2,3,3,3,1,1,0,0,0,1,0,0,0,1,1,0,1,0,1,0,1,3,0,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,-3,-3,-3,-3,-3,-3,-3,-3,-3,3,4,4,5,4,3,4,3,4,4,3,4,5,3,3,3,2,3,2,2,2,3,4,1,5,4,4,5,4,4,4,4,3,3,4,4,3,5,2,1,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,无
37,2,2,3,2,1,1,2,1,0,1,0,0,0,0,1^无,0,1,1,0,1,1,0,0,3,3,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,-3,-3,-3,-3,-3,-3,-3,-3,-3,4,4,5,4,4,3,4,4,4,4,4,4,4,4,3,5,4,5,5,5,5,5,5,4,4,5,4,3,5,4,4,3,4,3,5,5,5,3,2,1,0,0,1,1,0,1,0,0,0,1,0,0,1,0,1,0,无
38,1,3,2,4,1,1,2,1,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,3,3,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,-3,-3,-3,-3,-3,-3,-3,-3,-3,4,4,5,5,5,4,3,1,3,3,3,4,5,5,2,3,1,3,3,3,1,3,3,1,4,3,4,5,4,5,4,5,3,5,1,1,1,3,3,4,0,0,1,1,0,0,1,0,0,1,0,0,1,0,1,0,无
39,1,1,5,2,3,2,2,1,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,1,5,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,-3,-3,-3,-3,-3,-3,-3,-3,-3,2,3,1,4,3,4,3,4,5,4,3,3,4,4,5,3,4,5,4,4,4,5,4,3,5,5,4,5,5,4,4,5,3,5,3,4,3,4,2,1,1,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,无
40,1,3,5,5,4,4,3,2,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,3,1,0,1,0,1,0,0,0,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,0,1,0,1,0,0,1,0,0,3,4,5,3,3,4,4,4,4,4,4,4,5,4,3,5,4,3,4,4,4,5,4,4,3,5,4,4,5,3,4,5,4,4,5,5,5,5,2,3,1,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,无
41,2,2,4,8^无,3,3,3,1,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,3,4,1,0,1,0,1,0,0,0,0,1,1,0,1,0,1,0,0,-3,-3,-3,-3,-3,-3,-3,-3,-3,5,4,5,4,4,3,4,4,4,5,4,3,5,4,4,4,3,4,4,4,4,4,3,5,4,4,4,5,3,4,4,5,3,3,3,2,3,1,2,3,0,1,0,1,0,1,0,0,1^无,0,1,0,0,0,1,0,无
42,2,3,4,3,2,2,2,2,1,0,0,0,1,0,0,0,1,1,0,1,0,1,0,3,3,0,1,0,1,0,0,0,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,0,1,0,0,1,0,0,0,0,3,4,5,4,5,5,3,5,4,5,3,5,3,3,5,5,5,5,4,3,5,4,3,5,4,3,4,4,4,3,4,5,3,5,3,5,5,5,1,2,0,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,无
43,1,2,4,2,4,1,2,2,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,2,5,0,1,0,1,0,0,1^无,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,1,0,0,1,0,1,0,0,0,4,5,3,5,5,5,3,5,5,3,4,3,5,4,3,4,4,5,5,5,4,5,5,5,1,1,1,1,2,2,2,2,2,1,4,5,5,3,3,5,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,无
44,2,2,5,8^无,2,1,3,1,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,3,4,0,1,1,0,0,1,0,0,0,1,1,0,0,1,0,1,0,-3,-3,-3,-3,-3,-3,-3,-3,-3,5,4,3,3,5,4,4,3,5,5,5,4,5,5,4,4,5,3,3,4,4,4,5,5,4,4,3,5,3,5,5,3,5,4,4,5,4,5,2,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,1,0,无
45,2,3,3,2,2,1,3,1,0,1,0,0,1,0,0,0,1,1,0,1,0,1,0,3,3,0,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,-3,-3,-3,-3,-3,-3,-3,-3,-3,5,4,3,3,5,4,5,5,4,5,3,4,4,4,4,4,4,5,4,5,4,4,3,4,5,4,4,5,4,4,5,5,5,4,5,4,4,3,2,3,0,1,0,1,0,1,0,0,1^无,0,1,0,1,0,1,0,无
46,2,4,4,2,4,2,3,1,0,1,0,0,1,0,0,0,1,0,1,1,0,0,1^无,3,2,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,0,0,-3,-3,-3,-3,-3,-3,-3,-3,-3,5,4,4,4,5,4,3,3,3,5,5,4,4,5,3,4,5,4,4,4,5,3,3,5,4,3,5,4,5,4,4,4,5,5,3,4,3,3,3,2,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,无
47,1,4,5,4,3,1,2,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,2,1,0,1,0,1,0,1,0,0,0,1,1,0,1,0,1,0,0,-3,-3,-3,-3,-3,-3,-3,-3,-3,4,5,5,3,5,3,5,5,4,5,5,4,5,5,1,2,2,3,1,1,1,3,3,1,4,4,5,4,4,4,4,3,5,3,4,5,5,4,1,2,0,1,0,1,1,0,0,1,0,1,0,1,0,0,1,0,无
48,1,5,4,3,2,2,3,1,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,3,2,1,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1^无,-3,-3,-3,-3,-3,-3,-3,-3,-3,5,5,5,5,4,4,5,5,4,4,4,4,3,5,4,5,4,3,4,3,3,4,5,4,4,3,4,5,4,5,4,4,4,3,1,3,3,2,2,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,无
49,1,4,4,2,2,1,3,1,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,2,2,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,0,0,-3,-3,-3,-3,-3,-3,-3,-3,-3,5,4,5,5,3,4,5,4,4,4,4,3,3,4,3,5,4,5,5,5,5,5,5,4,4,3,4,3,5,4,5,4,4,5,5,4,3,4,3,2,0,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,无
50,1,3,4,3,2,1,3,1,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,3,1,1,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,-3,-3,-3,-3,-3,-3,-3,-3,-3,3,4,5,4,4,4,5,4,3,5,5,5,5,5,5,3,4,3,5,5,4,5,5,4,3,4,1,2,2,1,3,3,1,1,4,4,4,4,2,2,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,无
51,1,4,2,2,2,1,1,1,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,2,2,0,1,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,-3,-3,-3,-3,-3,-3,-3,-3,-3,2,3,2,1,1,1,3,2,2,1,5,4,4,4,4,4,3,5,4,3,3,4,4,5,5,3,3,5,4,4,4,5,4,4,5,4,4,4,3,3,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,无
52,1,2,2,8^无,3,2,3,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,2,5,1,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,0,-3,-3,-3,-3,-3,-3,-3,-3,-3,4,4,4,3,4,4,4,4,4,4,3,4,4,5,5,4,5,5,3,4,4,4,5,5,3,5,5,5,3,4,5,5,5,5,5,3,4,4,1,2,0,0,1,1,0,0,1,0,0,1,0,1,0,0,1,0,无
53,1,3,4,2,3,1,3,1,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,3,2,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,0,-3,-3,-3,-3,-3,-3,-3,-3,-3,4,5,5,5,5,5,5,4,4,4,4,5,3,3,5,5,5,5,4,3,5,4,3,5,4,4,3,4,4,5,4,5,5,4,4,4,4,5,1,3,0,1,0,1,0,1,0,0,1^无,0,1,0,1,0,1,0,无
54,2,3,4,8^无,4,2,1,1,1,0,0,1,0,0,0,0,1,1,0,1,0,1,0,3,4,1,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,-3,-3,-3,-3,-3,-3,-3,-3,-3,3,5,5,4,4,4,4,4,5,3,3,5,4,5,4,4,4,4,3,5,3,5,4,4,4,4,5,5,4,4,4,5,3,5,3,3,2,2,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,无
55,2,2,3,2,2,3,4,1,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,4,2,1,1,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,-3,-3,-3,-3,-3,-3,-3,-3,-3,4,5,4,4,4,4,4,4,4,4,5,4,4,4,2,1,1,3,2,2,2,1,2,2,5,5,3,3,4,5,3,4,4,5,4,5,4,4,1,2,0,1,0,1,1,0,0,1,0,0,1,0,0,1,0,0,无
56,1,3,3,3,1,1,2,1,0,1,0,0,0,1,0,0,1,1,0,1,0,1,0,2,4,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,-3,-3,-3,-3,-3,-3,-3,-3,-3,5,4,4,5,4,5,3,4,5,3,5,5,4,4,5,3,4,3,4,4,4,4,5,5,3,4,4,4,5,4,4,4,5,3,3,3,4,5,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,无
57,2,4,3,2,1,1,2,2,0,0,0,1,0,0,0,1,0,1,1,0,1,0,0,1,1,1,0,1,0,0,1,0,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,0,1,0,0,1,0,0,0,0,4,5,4,3,4,5,3,5,4,4,5,3,5,4,5,5,5,5,4,3,5,4,3,5,1,1,3,1,3,2,2,3,3,3,4,5,4,5,2,1,0,1,0,1,1,0,0,1,0,0,1,0,1,0,0,1^无,无
58,1,2,4,6,2,3,3,2,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1^无,3,3,0,1,0,1,0,0,0,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,0,1,0,0,1,0,0,0,0,2,2,1,3,1,1,2,1,2,2,2,1,3,1,3,3,1,4,3,3,2,2,2,2,5,4,4,5,4,4,4,4,4,5,1,3,1,2,4,4,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,无
